Date,Open,High,Low,Close,Adj Close,Volume,Symbol,actualizacion
2013-08-26,1.05038,1.0532,1.0498,1.0503,1.0503,0.0,USDCAD=X,2020-10-18 20:38:42.780037
2013-08-27,1.05,1.05375,1.0499,1.04994,1.04994,0.0,USDCAD=X,2020-10-18 20:38:42.780037
2013-08-28,1.04914,1.05094,1.04745,1.04905,1.04905,0.0,USDCAD=X,2020-10-18 20:38:42.780037
2013-08-29,1.0492,1.0528,1.0476,1.04921,1.04921,0.0,USDCAD=X,2020-10-18 20:38:42.780037
2013-08-30,1.0537,1.05568,1.0492,1.0539,1.0539,0.0,USDCAD=X,2020-10-18 20:38:42.780037
2013-09-02,1.05355,1.05477,1.0513,1.05357,1.05357,0.0,USDCAD=X,2020-10-18 20:38:42.780037
2013-09-03,1.0552,1.0559,1.0508,1.05513,1.05513,0.0,USDCAD=X,2020-10-18 20:38:42.780037
2013-09-04,1.0534,1.05418,1.0475,1.05348,1.05348,0.0,USDCAD=X,2020-10-18 20:38:42.780037
2013-09-05,1.04965,1.05152,1.0475,1.0496,1.0496,0.0,USDCAD=X,2020-10-18 20:38:42.780037
2013-09-06,1.04993,1.05,1.0381,1.05,1.05,0.0,USDCAD=X,2020-10-18 20:38:42.780037
2013-09-09,1.04121,1.04121,1.03628,1.0413,1.0413,0.0,USDCAD=X,2020-10-18 20:38:42.780037
2013-09-10,1.03714,1.0379,1.03294,1.0372,1.0372,0.0,USDCAD=X,2020-10-18 20:38:42.780037
2013-09-11,1.03525,1.03645,1.03255,1.0353,1.0353,0.0,USDCAD=X,2020-10-18 20:38:42.780037
2013-09-12,1.03091,1.03342,1.0304,1.0308700000000002,1.0308700000000002,0.0,USDCAD=X,2020-10-18 20:38:42.780037
2013-09-13,1.03225,1.03454,1.0321,1.03229,1.03229,0.0,USDCAD=X,2020-10-18 20:38:42.780037
2013-09-16,1.0311,1.03224,1.0279,1.03099,1.03099,0.0,USDCAD=X,2020-10-18 20:38:42.780037
2013-09-17,1.03188,1.0333,1.0276299999999998,1.03187,1.03187,0.0,USDCAD=X,2020-10-18 20:38:42.780037
2013-09-18,1.0296,1.0317,1.0286,1.0295,1.0295,0.0,USDCAD=X,2020-10-18 20:38:42.780037
2013-09-19,1.02205,1.0237,1.01824,1.02231,1.02231,0.0,USDCAD=X,2020-10-18 20:38:42.780037
2013-09-20,1.02659,1.02999,1.02621,1.0265799999999998,1.0265799999999998,0.0,USDCAD=X,2020-10-18 20:38:42.780037
2013-09-23,1.02994,1.03053,1.02749,1.02979,1.02979,0.0,USDCAD=X,2020-10-18 20:38:42.780037
2013-09-24,1.02844,1.03091,1.0267700000000002,1.0283,1.0283,0.0,USDCAD=X,2020-10-18 20:38:42.780037
2013-09-25,1.0306,1.03181,1.02845,1.03059,1.03059,0.0,USDCAD=X,2020-10-18 20:38:42.780037
2013-09-26,1.032,1.03384,1.0299,1.03198,1.03198,0.0,USDCAD=X,2020-10-18 20:38:42.780037
2013-09-27,1.03105,1.03313,1.0298,1.0311,1.0311,0.0,USDCAD=X,2020-10-18 20:38:42.780037
2013-09-30,1.03121,1.0316299999999998,1.02745,1.0312,1.0312,0.0,USDCAD=X,2020-10-18 20:38:42.780037
2013-10-01,1.03236,1.0333,1.02875,1.03237,1.03237,0.0,USDCAD=X,2020-10-18 20:38:42.780037
2013-10-02,1.03378,1.0355,1.0327,1.03375,1.03375,0.0,USDCAD=X,2020-10-18 20:38:42.780037
2013-10-03,1.0325,1.0339200000000002,1.03125,1.03245,1.03245,0.0,USDCAD=X,2020-10-18 20:38:42.780037
2013-10-04,1.0326,1.0339,1.02967,1.03277,1.03277,0.0,USDCAD=X,2020-10-18 20:38:42.780037
2013-10-07,1.02983,1.03333,1.0295,1.02988,1.02988,0.0,USDCAD=X,2020-10-18 20:38:42.780037
2013-10-09,1.03565,1.04063,1.03565,1.0355,1.0355,0.0,USDCAD=X,2020-10-18 20:38:42.780037
2013-10-10,1.0392,1.04181,1.0371,1.03928,1.03928,0.0,USDCAD=X,2020-10-18 20:38:42.780037
2013-10-11,1.0409,1.04116,1.03768,1.04093,1.04093,0.0,USDCAD=X,2020-10-18 20:38:42.780037
2013-10-14,1.03642,1.0369,1.0337,1.03641,1.03641,0.0,USDCAD=X,2020-10-18 20:38:42.780037
2013-10-15,1.035,1.03744,1.033,1.0351,1.0351,0.0,USDCAD=X,2020-10-18 20:38:42.780037
2013-10-16,1.0366,1.03822,1.0342,1.03725,1.03725,0.0,USDCAD=X,2020-10-18 20:38:42.780037
2013-10-17,1.03284,1.03314,1.028,1.0328,1.0328,0.0,USDCAD=X,2020-10-18 20:38:42.780037
2013-10-18,1.0299,1.03003,1.0276,1.0299,1.0299,0.0,USDCAD=X,2020-10-18 20:38:42.780037
2013-10-21,1.0294,1.03014,1.0286,1.02946,1.02946,0.0,USDCAD=X,2020-10-18 20:38:42.780037
2013-10-22,1.0307,1.031,1.0270000000000001,1.03062,1.03062,0.0,USDCAD=X,2020-10-18 20:38:42.780037
2013-10-23,1.0291,1.0392,1.02818,1.0290000000000001,1.0290000000000001,0.0,USDCAD=X,2020-10-18 20:38:42.780037
2013-10-24,1.03791,1.04345,1.0364,1.0379,1.0379,0.0,USDCAD=X,2020-10-18 20:38:42.780037
2013-10-25,1.0418,1.04541,1.0409,1.04171,1.04171,0.0,USDCAD=X,2020-10-18 20:38:42.780037
2013-10-28,1.04408,1.04486,1.0429,1.0441,1.0441,0.0,USDCAD=X,2020-10-18 20:38:42.780037
2013-10-29,1.0443,1.04529,1.0426,1.04438,1.04438,0.0,USDCAD=X,2020-10-18 20:38:42.780037
2013-10-30,1.04702,1.04724,1.0438,1.0469,1.0469,0.0,USDCAD=X,2020-10-18 20:38:42.780037
2013-10-31,1.04789,1.04889,1.0422,1.0478,1.0478,0.0,USDCAD=X,2020-10-18 20:38:42.780037
